"Name","Location","Type","Data Type","Namespace","Source"
"MENU_NEW_TEX_NAME","00c59d7c","Data Label","pointer","Global","User Defined"
"SUMMONBG_TEX_NAME","00c59d84","Data Label","pointer","Global","User Defined"
"SMONITOR_TEX_NAME_CH","00c59d88","Data Label","pointer","Global","User Defined"
"SMONITOR_TEX_NAME_DE","00c59d90","Data Label","pointer","Global","User Defined"
"SMONITOR_TEX_NAME_FR","00c59d94","Data Label","pointer","Global","User Defined"
"SMONITOR_TEX_NAME_IT","00c59d98","Data Label","pointer","Global","User Defined"
"SMONITOR_TEX_NAME_JP","00c59d9c","Data Label","pointer","Global","User Defined"
"SMONITOR_TEX_NAME_KR","00c59da0","Data Label","pointer","Global","User Defined"
"SMONITOR_TEX_NAME_SP","00c59da4","Data Label","pointer","Global","User Defined"
"SMONITOR_TEX_NAME_US","00c59da8","Data Label","pointer","Global","User Defined"
"NOW_HELP_TEX_NAME_JP","00c59dac","Data Label","pointer","Global","User Defined"
"NOW_HELP_TEX_NAME_CH","00c59db0","Data Label","pointer","Global","User Defined"
"NOW_HELP_TEX_NAME_DE","00c59db4","Data Label","pointer","Global","User Defined"
"NOW_HELP_TEX_NAME_FR","00c59db8","Data Label","pointer","Global","User Defined"
"NOW_HELP_TEX_NAME_IT","00c59dbc","Data Label","pointer","Global","User Defined"
"NOW_HELP_TEX_NAME_SP","00c59dc4","Data Label","pointer","Global","User Defined"
"NOW_HELP_TEX_NAME_US","00c59dc8","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX0_NAME","00c59dcc","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX1_NAME","00c59dd0","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX2_NAME","00c59dd4","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX3_NAME","00c59dd8","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX0_NAME_US","00c59ddc","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX1_NAME_US","00c59de0","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX2_NAME_US","00c59de4","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX3_NAME_US","00c59de8","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX0_NAME_FR","00c59dec","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX1_NAME_FR","00c59df0","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX2_NAME_FR","00c59df4","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX3_NAME_FR","00c59df8","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX0_NAME_ES","00c59dfc","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX1_NAME_ES","00c59e00","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX2_NAME_ES","00c59e04","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX3_NAME_ES","00c59e08","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX0_NAME_DE","00c59e0c","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX1_NAME_DE","00c59e10","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX2_NAME_DE","00c59e14","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX3_NAME_DE","00c59e18","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX0_NAME_IT","00c59e1c","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX1_NAME_IT","00c59e20","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX2_NAME_IT","00c59e24","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX3_NAME_IT","00c59e28","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX0_NAME_KR","00c59e2c","Data Label","pointer","Global","User Defined"
