"Name","Location","Type","Data Type","Namespace","Source"
"ffx_hddmode","0133c8d3","Data Label","undefined1","Global","User Defined"
"sCurrentTime","0133c8e0","Data Label","undefined","Global","User Defined"
"sLastTime","0133c8e4","Data Label","undefined","Global","User Defined"
"isKeyLPressed","0133c8e8","Data Label","undefined4","Global","User Defined"
"isKeyRPressed","0133c8ec","Data Label","undefined4","Global","User Defined"
"ODBegin","0133c8f0","Data Label","undefined4","Global","User Defined"
"toBtlExecFlag","0133c908","Data Label","undefined4","Global","User Defined"
"toBtlWin","0133c910","Data Label","undefined","Global","User Defined"
"toTarget","0133d090","Data Label","undefined2","Global","User Defined"
"toTargetKeep","0133d1d0","Data Label","undefined4","Global","User Defined"
"g_autoBtl","0133d6a0","Data Label","undefined4","Global","User Defined"
"g_autoBtlResetDefaultMain","0133d6a4","Data Label","undefined4","Global","User Defined"
"g_autoBtlWinType","0133d6a8","Data Label","undefined4","Global","User Defined"
"g_autoBtlNoTarget","0133d6ac","Data Label","undefined4","Global","User Defined"
"g_autoBtlLastGil","01340400","Data Label","undefined","Global","User Defined"
"isAbmapTuto","013407e0","Data Label","undefined4","Global","User Defined"
"IsInTkMenuMainExecuteLoop","013407e4","Data Label","undefined4","Global","User Defined"
"IsInTkMenuFakeLoop","013407ec","Data Label","undefined4","Global","User Defined"
"isWeaponTuto","01340814","Data Label","undefined4","Global","User Defined"
"TOMenuFirstReadEnd","01340819","Data Label","undefined1","Global","User Defined"
"TkMenuFrameKeepAddress","01340830","Data Label","undefined","Global","User Defined"
"+ImportantSortedList","01596f30","Data Label","undefined2","Global","User Defined"
"TOMenuAbilitymapWorkAdrs","01640830","Data Label","undefined","Global","User Defined"
"+TkMenuMainIgnoreJoin","01840830","Data Label","int","Global","User Defined"
"+TkMenuDrawShadeRatio","0184083c","Data Label","undefined4","Global","User Defined"
"+TkMenus","01840848","Data Label","TkMenu *[24]","Global","User Defined"
"TkMenuActiveMask","018408ac","Data Label","undefined4","Global","User Defined"
"+TkMenuMode","018408b8","Data Label","undefined4","Global","User Defined"
"TkMenuHelpMessage","01841bc0","Data Label","undefined4","Global","User Defined"
"TkMenuPrevHelpMessage","01841bc4","Data Label","undefined","Global","User Defined"
"+TkMenuPlayerIdList","01841bd4","Data Label","byte[8]","Global","User Defined"
"+TkMenuPlayerListMax","01841bdc","Data Label","undefined4","Global","User Defined"
"+TkMenuPlayerListMax2","01841be0","Data Label","undefined4","Global","User Defined"
"TkMenuCurrentPlayer","01841be8","Data Label","int","Global","User Defined"
"+TkMenuMainFrameRatioDiff","01841c24","Data Label","undefined","Global","User Defined"
"+TkMenuMainFrameRatio","01841c28","Data Label","undefined4","Global","User Defined"
"drawButtonData","01841ce4","Data Label","undefined4","Global","User Defined"
"toMonitorFlag","01841d03","Data Label","undefined1","Global","User Defined"
"gFontInfo","01841d10","Data Label","undefined","Global","User Defined"
"EventFontNum","01841d50","Data Label","undefined4","Global","User Defined"
"is_auto_set_next_page","01866390","Data Label","undefined1","Global","User Defined"
"eternalcalm_cur_frame_count","01866394","Data Label","undefined4","Global","User Defined"
"toSeparatorData","01869a70","Data Label","SeparatorData[2]","Global","User Defined"
"TkMn2SummonGrowMaxCounter","0186a1fc","Data Label","undefined4","Global","User Defined"
"ImportantCounter","0186a340","Data Label","undefined4","Global","User Defined"
"ImportantListMax","0186a348","Data Label","undefined4","Global","User Defined"
"+TkMenuMainOpenWaitTimer","01871504","Data Label","undefined2","Global","User Defined"
"+TkMenuMainSelectedIndex","01871508","Data Label","undefined4","Global","User Defined"
"+TkMenuMainExchangePlayer1","0187151c","Data Label","int","Global","User Defined"
"+TkMenuMainExchangePlayer2","01871520","Data Label","int","Global","User Defined"
"+TkMenuMainMaxOptions","01871648","Data Label","int","Global","User Defined"
"x_font_adjust","01871668","Data Label","undefined","Global","User Defined"
"y_font_adjust","0187166c","Data Label","undefined","Global","User Defined"
"g_bIsRenderWithoutShadow","0187167c","Data Label","undefined4","Global","User Defined"
"UiFontShadowOffsetX","018716a0","Data Label","undefined","Global","User Defined"
"UiFontShadowOffsetY","018716a4","Data Label","undefined","Global","User Defined"
"InvokedFromSelectCursor","018716b0","Data Label","undefined4","Global","User Defined"
"yiBGRender","01876e00","Data Label","undefined","Global","User Defined"
"is3DScene","01934ec0","Data Label","undefined","Global","User Defined"
"g_pMainWork","0193bf80","Data Label","undefined4","Global","User Defined"
"isNextMagicData","0193fdac","Data Label","undefined4","Global","User Defined"
"g_hideDaigorouFlag","01940ab8","Data Label","undefined4","Global","User Defined"
"g_magicfile_restoreCamera","01940abc","Data Label","undefined4","Global","User Defined"
"g_magic629_backupMegasMatFlag","01940ac0","Data Label","undefined4","Global","User Defined"
"gMonDiedToHide","01940ac4","Data Label","undefined4","Global","User Defined"
"+panel_bin_ptr","01a860e0","Data Label","undefined4","Global","User Defined"
"+sphere_bin_ptr","01a860e4","Data Label","undefined4","Global","User Defined"
"+SLvUsableForMove","01a860fc","Data Label","undefined4","Global","User Defined"
"owd_heapd_st","022c9760","Data Label","undefined","Global","User Defined"
"g_0437_hd","022fb3dc","Data Label","undefined4","Global","User Defined"
"magic_710_count","022fb3f8","Data Label","undefined4","Global","User Defined"
"g_uv0582_vfxList","022fb400","Data Label","undefined4","Global","User Defined"
"ms_configFile","022fb504","Data Label","undefined4","Global","User Defined"
"fov_backup","022fb600","Data Label","undefined","Global","User Defined"
"ms_screen_matrix_backup","022fb620","Data Label","undefined4","Global","User Defined"
"ms_camera_matrix_backup","022fb660","Data Label","undefined4","Global","User Defined"
"InitMagicPRX","022fb6a0","Data Label","undefined4","Global","User Defined"
"GetEffectOverlayTable","022fb6a4","Data Label","undefined","Global","User Defined"
"read_name_pc","022fb6c0","Data Label","undefined","Global","User Defined"
"overLayProgStart","022fd6c0","Data Label","undefined","Global","User Defined"
"dummyreg_uint","023056e8","Data Label","undefined4","Global","User Defined"
"CHRTAGOFFY1","02305804","Data Label","undefined4","Global","User Defined"
"CHRTAGOFFY0","02305808","Data Label","undefined4","Global","User Defined"
"CHRTAGOFFY0","0230580c","Data Label","undefined4","Global","User Defined"
"CHRTAGOFFX0","02305810","Data Label","undefined4","Global","User Defined"
"CHRTAGH","02305824","Data Label","undefined4","Global","User Defined"
"CHRTAGW","02305828","Data Label","undefined4","Global","User Defined"
"lpamng","02305834","Data Label","LpAbilityMapEngine *","Global","User Defined"
"KeThShapeData","02305840","Data Label","undefined4","Global","User Defined"
"wk","0230f9c8","Data Label","undefined4","Global","User Defined"
"vfNXTPERSz","0230f9cc","Data Label","undefined","Global","User Defined"
"vfCURPERSy","0230f9d0","Data Label","undefined","Global","User Defined"
"vfxyCurVec","0230f9e0","Data Label","undefined","Global","User Defined"
"vfzWidSclSz","0230f9f4","Data Label","undefined","Global","User Defined"
"vfwPstg","0230f9f8","Data Label","undefined","Global","User Defined"
"vfxyScl","0230fa00","Data Label","undefined","Global","User Defined"
"vfwAddWid","0230fa08","Data Label","undefined","Global","User Defined"
"vfxWid","0230fa0c","Data Label","undefined","Global","User Defined"
"vfColScl","0230fa10","Data Label","undefined","Global","User Defined"
"vfAddColLt","0230fa20","Data Label","undefined","Global","User Defined"
"vfAddColCe","0230fa30","Data Label","undefined","Global","User Defined"
"vfColLt","0230fa40","Data Label","undefined","Global","User Defined"
"vfColCe","0230fa50","Data Label","undefined","Global","User Defined"
"vfCurWrk","0230fa60","Data Label","undefined","Global","User Defined"
"vfPreWrk","0230fa70","Data Label","undefined","Global","User Defined"
"vfNxtPos","0230fa80","Data Label","undefined","Global","User Defined"
"vfCurPos","0230fa90","Data Label","undefined","Global","User Defined"
"vfPrePos","0230faa0","Data Label","undefined","Global","User Defined"
"vfMat","0230fac0","Data Label","undefined","Global","User Defined"
"screenToWorld","0230fb00","Data Label","undefined","Global","User Defined"
"invCameraMatrix","0230fb40","Data Label","undefined","Global","User Defined"
"invScreenMatrix","0230fb80","Data Label","undefined","Global","User Defined"
"gsSend","0230fbc0","Data Label","undefined","Global","User Defined"
"gsBusy","0230fbc4","Data Label","undefined","Global","User Defined"
"phyreViewProjectionInverseMatrix","0230fbe0","Data Label","undefined4","Global","User Defined"
"phyreViewProjectionMatrix","0230fc20","Data Label","undefined4","Global","User Defined"
"ppvScreenInverseMatrix","0230fc60","Data Label","undefined4","Global","User Defined"
"ppvCameraInverseMatrix","0230fca0","Data Label","undefined4","Global","User Defined"
"ppvMinimapCameraInverseMatrix","0230fce0","Data Label","undefined","Global","User Defined"
"ppvProgIndex","0230fd20","Data Label","undefined4","Global","User Defined"
"pobjcounter","0230fd24","Data Label","undefined4","Global","User Defined"
"ppvCurPrimp","0230fd2c","Data Label","undefined4","Global","User Defined"
"ppvHookFuncTbl","0230fd30","Data Label","undefined4","Global","User Defined"
"ppvUserStopPartF","0230fd34","Data Label","undefined4","Global","User Defined"
"ppvSysStopPartF","0230fd38","Data Label","undefined4","Global","User Defined"
"ppvMemAllocErrorF","0230fd3c","Data Label","undefined4","Global","User Defined"
"ppvChrScl","0230fd50","Data Label","undefined","Global","User Defined"
"ppvColorMatrix","0230fd60","Data Label","undefined","Global","User Defined"
"ppvLightMatrix","0230fda0","Data Label","undefined","Global","User Defined"
"ppvSWMatrixWood","0230fde0","Data Label","undefined","Global","User Defined"
"ppvSWMatrix","0230fe20","Data Label","undefined","Global","User Defined"
"ppvScreenMatrix","0230fe60","Data Label","undefined","Global","User Defined"
"ppvFpCameraMatrixWood","0230fea0","Data Label","undefined","Global","User Defined"
"ppvWorldMatrixWood","0230fee0","Data Label","undefined","Global","User Defined"
"ppvWorldMatrix","0230ff20","Data Label","undefined4","Global","User Defined"
"ppvCameraMatrix","0230ff60","Data Label","undefined","Global","User Defined"
"ppvParMatrix","0230ffa0","Data Label","undefined4","Global","User Defined"
"ppvMng","0230ffe4","Data Label","undefined4","Global","User Defined"
"ppvOtFuncEnv","0230fff0","Data Label","undefined","Global","User Defined"
"tex_anim_wk","02310000","Data Label","undefined4","Global","User Defined"
"FileReadCompleteSemaId","02310c24","Data Label","undefined4","Global","User Defined"
"FileReadSemaId","02310c28","Data Label","undefined4","Global","User Defined"
"cd_read","02310c40","Data Label","CdRead","Global","User Defined"
"file_module_size_tbl","02310cd4","Data Label","undefined4","Global","User Defined"
"btl_ply_win","02310cd8","Data Label","undefined4","Global","User Defined"
"btlgetdata_mes","02310ce0","Data Label","undefined","Global","User Defined"
"btlgetdata","02310ea0","Data Label","BattleRewardData","Global","User Defined"
"btl_lmt_spare_data","02311050","Data Label","undefined4","Global","User Defined"
"delayToHideCh","02311060","Data Label","undefined","Global","User Defined"
"ply_default_name","023110a0","Data Label","undefined1","Global","User Defined"
"ms_paramdata","02311240","Data Label","StatBoostData[31]","Global","User Defined"
"isSystemfileLoad","023112bc","Data Label","undefined4","Global","User Defined"
"BtlEventFtc","023112c0","Data Label","undefined4","Global","User Defined"
"BtlEventMes","023112c4","Data Label","undefined4","Global","User Defined"
"BtlEventName","023112e0","Data Label","undefined1","Global","User Defined"
"btl_file_name_country","02311420","Data Label","undefined","Global","User Defined"
"ms_camera_priority_mask","02311424","Data Label","undefined4","Global","User Defined"
"ms_effect_camera_scrdpt","02311428","Data Label","undefined4","Global","User Defined"
"ms_effect_camera_flag","0231142c","Data Label","undefined4","Global","User Defined"
"ms_camera_now","02311430","Data Label","undefined4","Global","User Defined"
"ms_camera_matrix","02311440","Data Label","undefined4","Global","User Defined"
"ms_screen_matrix","02311480","Data Label","undefined4","Global","User Defined"
"ms_screen_now","023114c0","Data Label","undefined4","Global","User Defined"
"ms_matrix_flag","023114c4","Data Label","undefined4","Global","User Defined"
"ms_view_flag","023114f4","Data Label","int","Global","User Defined"
"ow_v2","023328d0","Data Label","undefined","Global","User Defined"
"ow_v","023328d4","Data Label","undefined4","Global","User Defined"
"oa_dmatospr","023328d8","Data Label","undefined","Global","User Defined"
"oa_dmafromspr","023328dc","Data Label","undefined","Global","User Defined"
"oa_dmagif","023328e0","Data Label","undefined4","Global","User Defined"
"oa_dmavif1","023328e4","Data Label","undefined","Global","User Defined"
"oa_dmavif0","023328e8","Data Label","undefined","Global","User Defined"
"ow_prim_ovl_a","02332e80","Data Label","undefined4","Global","User Defined"
"ow_prim_ovl_ta","02332e84","Data Label","undefined4","Global","User Defined"
"ow_prim_a","02332e8c","Data Label","undefined4","Global","User Defined"
"ow_prim_ta","02332e90","Data Label","undefined4","Global","User Defined"
"spr_rev_index","02332ea0","Data Label","undefined1","Global","User Defined"
"spr_index","02332ea1","Data Label","undefined1","Global","User Defined"
"os_stream_a","023c3520","Data Label","undefined4","Global","User Defined"
"os_soundcue","023c3540","Data Label","undefined4","Global","User Defined"
"odat_et_tex_path","023c38a0","Data Label","undefined","Global","User Defined"
"odat_et_ffx_path","023c39a0","Data Label","undefined","Global","User Defined"
"sg_buf","023c4000","Data Label","undefined1","Global","User Defined"
"sg_light_color","023c4400","Data Label","undefined4","Global","User Defined"
"dropshadow","023c4450","Data Label","undefined","Global","User Defined"
"nb_maxchr","023c44e0","Data Label","undefined4","Global","User Defined"
"chr","023c44e4","Data Label","undefined4","Global","User Defined"
"saveDist","023c4500","Data Label","undefined4","Global","User Defined"
"dist_list","023c5100","Data Label","undefined4","Global","User Defined"
"wl_list","023c5d00","Data Label","undefined4","Global","User Defined"
"chrblk","023c8d00","Data Label","undefined4","Global","User Defined"
"sg_screen_height","023cbbe0","Data Label","undefined4","Global","User Defined"
"sg_screen_width","023cbbe4","Data Label","undefined4","Global","User Defined"
"sg_count","023cbbf0","Data Label","undefined4","Global","User Defined"
"dmaGif","023cbbf4","Data Label","undefined4","Global","User Defined"
"dmaVif1","023cbbf8","Data Label","undefined4","Global","User Defined"
"dmaVif0","023cbbfc","Data Label","undefined4","Global","User Defined"
"Mouse_DblClkCount","023cbc00","Data Label","undefined4","Global","User Defined"
"Mouse_SpZ","023cbc04","Data Label","undefined4","Global","User Defined"
"Mouse_Button","023cbc10","Data Label","undefined4","Global","User Defined"
"AtelEventName","023cbc60","Data Label","undefined1","Global","User Defined"
"EbpMessageAdrs","023cbd60","Data Label","undefined4","Global","User Defined"
"atelbinhdrbuf","023cbd70","Data Label","undefined4","Global","User Defined"
"atelactorbuf","023cbd78","Data Label","undefined4","Global","User Defined"
"gNeedAutoSave","023cbebc","Data Label","undefined4","Global","User Defined"
"TkVoicePtr","023cbec4","Data Label","undefined4","Global","User Defined"
"toGil","023cc038","Data Label","undefined4","Global","User Defined"
"toCom","023cc040","Data Label","undefined4","Global","User Defined"
"toNow","023cc088","Data Label","undefined2","Global","User Defined"
"toActiveBit","023cc08c","Data Label","undefined4","Global","User Defined"
"toBtlWinMinWidth","023cc090","Data Label","undefined2","Global","User Defined"
"toBwNum","023cc092","Data Label","undefined1","Global","User Defined"
"TkBtlEndWeapon","025cc580","Data Label","undefined2 *","Global","User Defined"
"EventFontFullNameArray","025cc5a0","Data Label","undefined1","Global","User Defined"
"BattleFontFullName","025d05a0","Data Label","undefined1","Global","User Defined"
"BattleFontSubPath","025d06a0","Data Label","undefined1","Global","User Defined"
"EventFontFullName","025d07a0","Data Label","undefined1","Global","User Defined"
"EventFontSubPath","025d08a0","Data Label","undefined1","Global","User Defined"
"gDrawInfo","025d09a0","Data Label","undefined4","Global","User Defined"
"separator","025d09bc","Data Label","undefined","Global","User Defined"
"toPad","025d09c0","Data Label","undefined1","Global","User Defined"
"toBtlCtbChrNextH","025d0a80","Data Label","undefined","Global","User Defined"
"toBtlCtbWinY","025d0a88","Data Label","undefined2","Global","User Defined"
"toBtlCtbWinX","025d0a8a","Data Label","undefined2","Global","User Defined"
"toBtlChangeParamOfsY","025d0a8c","Data Label","undefined","Global","User Defined"
"toBtlChangeParamOfsX","025d0a8e","Data Label","undefined","Global","User Defined"
"toBtlChangeFaceOfsY","025d0a90","Data Label","undefined","Global","User Defined"
"toBtlChangeFaceOfsX","025d0a92","Data Label","undefined","Global","User Defined"
"toBtlChangeNameOfsY","025d0a94","Data Label","undefined","Global","User Defined"
"toBtlChangeNameOfsX","025d0a96","Data Label","undefined","Global","User Defined"
"toBtlChangeNextH","025d0a98","Data Label","undefined","Global","User Defined"
"toBtlChangeH","025d0a9a","Data Label","undefined","Global","User Defined"
"toBtlChangeW","025d0a9c","Data Label","undefined","Global","User Defined"
"toBtlChangeY","025d0a9e","Data Label","undefined","Global","User Defined"
"toBtlChangeX","025d0aa0","Data Label","undefined","Global","User Defined"
"toBtlLimitGaugeOfsH","025d0aa2","Data Label","undefined2","Global","User Defined"
"toBtlLimitGaugeOfsW","025d0aa4","Data Label","undefined2","Global","User Defined"
"toBtlLimitGaugeOfsY","025d0aa6","Data Label","undefined2","Global","User Defined"
"toBtlLimitGaugeOfsX","025d0aa8","Data Label","undefined2","Global","User Defined"
"toBtlLimitWakuColor","025d0aac","Data Label","undefined","Global","User Defined"
"toBtlLimitWakuOfsH","025d0ab0","Data Label","undefined2","Global","User Defined"
"toBtlLimitWakuOfsW","025d0ab2","Data Label","undefined2","Global","User Defined"
"toBtlLimitWakuOfsY","025d0ab4","Data Label","undefined2","Global","User Defined"
"toBtlLimitWakuOfsX","025d0ab6","Data Label","undefined2","Global","User Defined"
"toBtlMpValueOfsY","025d0ab8","Data Label","undefined2","Global","User Defined"
"toBtlMpValueOfsX","025d0aba","Data Label","undefined2","Global","User Defined"
"toBtlMpTexOfsY","025d0abc","Data Label","undefined2","Global","User Defined"
"toBtlMpTexOfsX","025d0abe","Data Label","undefined2","Global","User Defined"
"toBtlHpValueOfsY","025d0ac0","Data Label","undefined2","Global","User Defined"
"toBtlHpValueOfsX","025d0ac2","Data Label","undefined2","Global","User Defined"
"toBtlHpTexOfsY","025d0ac4","Data Label","undefined2","Global","User Defined"
"toBtlHpTexOfsX","025d0ac6","Data Label","undefined2","Global","User Defined"
"toBtlParamBackColorA","025d0ac8","Data Label","undefined1","Global","User Defined"
"toBtlParamBackColorB","025d0ac9","Data Label","undefined1","Global","User Defined"
"toBtlParamBackColorG","025d0aca","Data Label","undefined1","Global","User Defined"
"toBtlParamBackColorR","025d0acb","Data Label","undefined1","Global","User Defined"
"toBtlParamBackH","025d0acc","Data Label","undefined2","Global","User Defined"
"toBtlParamBackW","025d0ace","Data Label","undefined2","Global","User Defined"
"toBtlParamBackY","025d0ad0","Data Label","undefined","Global","User Defined"
"toBtlParamBackX","025d0ad2","Data Label","undefined","Global","User Defined"
"toBtlNameOfsY","025d0ad4","Data Label","undefined","Global","User Defined"
"toBtlNameOfsX","025d0ad6","Data Label","undefined","Global","User Defined"
"toBtlTargetPltColor1","025d0ad8","Data Label","undefined","Global","User Defined"
"toBtlTargetPltColor0","025d0adc","Data Label","undefined","Global","User Defined"
"toBtlActivePltColor1","025d0ae0","Data Label","undefined","Global","User Defined"
"toBtlActivePltColor0","025d0ae4","Data Label","undefined","Global","User Defined"
"toBtlStatusPltNextH","025d0ae8","Data Label","undefined","Global","User Defined"
"toBtlStatusPltW","025d0aea","Data Label","undefined","Global","User Defined"
"toBtlStatusPltY","025d0aec","Data Label","undefined","Global","User Defined"
"toBtlStatusPltX","025d0aee","Data Label","undefined","Global","User Defined"
"toBtlComWinColor1","025d0af0","Data Label","undefined","Global","User Defined"
"toBtlComWinColor0","025d0af4","Data Label","undefined","Global","User Defined"
"toBtlComWinY","025d0af8","Data Label","undefined2","Global","User Defined"
"toBtlComWinX","025d0afa","Data Label","undefined2","Global","User Defined"
"toSnopltOY","025d0afc","Data Label","undefined","Global","User Defined"
"toSnopltOX","025d0afe","Data Label","undefined","Global","User Defined"
"toSnopltColor1","025d0b00","Data Label","undefined","Global","User Defined"
"toSnopltColor0","025d0b04","Data Label","undefined","Global","User Defined"
"toSnopltH","025d0b08","Data Label","undefined","Global","User Defined"
"toSnopltW","025d0b0a","Data Label","undefined","Global","User Defined"
"toSnopltY","025d0b0c","Data Label","undefined","Global","User Defined"
"toSnopltX","025d0b0e","Data Label","undefined","Global","User Defined"
"toMenuSummonPltColor1","025d0b10","Data Label","undefined4","Global","User Defined"
"toMenuSummonPltColor0","025d0b14","Data Label","undefined4","Global","User Defined"
"toMenuCfgScrollBarH","025d0b18","Data Label","undefined","Global","User Defined"
"toMenuCfgScrollBarW","025d0b1a","Data Label","undefined","Global","User Defined"
"toSpecialDicBuff","025d0d20","Data Label","undefined","Global","User Defined"
"toMenuCfgScrollBarY","025d0da0","Data Label","undefined","Global","User Defined"
"toMenuCfgScrollBarX","025d0da2","Data Label","undefined","Global","User Defined"
"toFFXToSjisTbl","025d0dc0","Data Label","undefined","Global","User Defined"
"toMenuCfgComStrOY","025d15ae","Data Label","undefined","Global","User Defined"
"toMenuCfgComStrOX","025d15b0","Data Label","undefined","Global","User Defined"
"toMenuCfgComPltColor1","025d15b4","Data Label","undefined","Global","User Defined"
"toMenuCfgComPltColor0","025d15b8","Data Label","undefined","Global","User Defined"
"toMenuItemPlayerPltColor1","025d15c4","Data Label","undefined","Global","User Defined"
"toMenuItemPlayerPltColor0","025d15c8","Data Label","undefined","Global","User Defined"
"toMenuItemPlayerPltLineColor1","025d15cc","Data Label","undefined","Global","User Defined"
"toMenuItemPlayerPltLineColor0","025d15d0","Data Label","undefined","Global","User Defined"
"toMenuItemPlayerPltUnderColor1","025d15d4","Data Label","undefined","Global","User Defined"
"toMenuItemPlayerPltUnderColor0","025d15d8","Data Label","undefined","Global","User Defined"
"toMenuItemPlayerPltShadowColor1","025d15dc","Data Label","undefined","Global","User Defined"
"toMenuItemPlayerPltShadowColor0","025d15e0","Data Label","undefined","Global","User Defined"
"toMenuPlaceStrOfsY","025d15e4","Data Label","undefined","Global","User Defined"
"toMenuPlaceStrOfsX","025d15e6","Data Label","undefined","Global","User Defined"
"toMenuPlaceTexOfsY","025d15e8","Data Label","undefined","Global","User Defined"
"toMenuPlaceTexOfsX","025d15ea","Data Label","undefined","Global","User Defined"
"toMenuPlacePltColor1","025d15ec","Data Label","undefined","Global","User Defined"
"toMenuPlacePltColor0","025d15f0","Data Label","undefined","Global","User Defined"
"toMenuPlacePltW","025d15f4","Data Label","undefined","Global","User Defined"
"toMenuPlacePltY","025d15f6","Data Label","undefined","Global","User Defined"
"toMenuPlacePltX","025d15f8","Data Label","undefined","Global","User Defined"
"toMenuPlaceBackPltColor1","025d15fc","Data Label","undefined","Global","User Defined"
"toMenuPlaceBackPltColor0","025d1600","Data Label","undefined","Global","User Defined"
"toMenuPlaceBackPltW","025d1604","Data Label","undefined","Global","User Defined"
"toMenuPlaceBackPltY","025d1606","Data Label","undefined","Global","User Defined"
"toMenuPlaceBackPltX","025d1608","Data Label","undefined","Global","User Defined"
"toMenuHelpStrOfsY","025d160a","Data Label","undefined","Global","User Defined"
"toMenuHelpStrOfsX","025d160c","Data Label","undefined","Global","User Defined"
"toMenuHelpPltColor1","025d1610","Data Label","undefined","Global","User Defined"
"toMenuHelpPltColor0","025d1614","Data Label","undefined","Global","User Defined"
"toMenuHelpPltW","025d1618","Data Label","undefined2","Global","User Defined"
"toMenuHelpPltY","025d161a","Data Label","undefined2","Global","User Defined"
"toMenuHelpPltX","025d161c","Data Label","undefined2","Global","User Defined"
"toMenuHelpTitlePltColor1","025d1624","Data Label","undefined4","Global","User Defined"
"toMenuHelpTitlePltColor0","025d1628","Data Label","undefined4","Global","User Defined"
"toMenuHelpTitlePltW","025d162c","Data Label","undefined2","Global","User Defined"
"toMenuHelpTitlePltY","025d162e","Data Label","undefined2","Global","User Defined"
"toMenuHelpTitlePltX","025d1630","Data Label","undefined2","Global","User Defined"
"toMenuComStrOfsY","025d1632","Data Label","undefined","Global","User Defined"
"toMenuComStrOfsX","025d1634","Data Label","undefined","Global","User Defined"
"toMenuComPltColor1","025d1638","Data Label","undefined4","Global","User Defined"
"toMenuComPltColor0","025d163c","Data Label","undefined4","Global","User Defined"
"toMenuComPltNextH","025d1640","Data Label","undefined","Global","User Defined"
"toMenuComPltH","025d1642","Data Label","undefined2","Global","User Defined"
"toMenuComPltW","025d1644","Data Label","undefined2","Global","User Defined"
"toMenuComPltY","025d1646","Data Label","undefined","Global","User Defined"
"toMenuComPltX","025d1648","Data Label","undefined","Global","User Defined"
"toMenuSpValueOfsY","025d164a","Data Label","undefined2","Global","User Defined"
"toMenuSpValueOfsX","025d164c","Data Label","undefined2","Global","User Defined"
"toMenuSpTexOfsY","025d164e","Data Label","undefined2","Global","User Defined"
"toMenuSpTexOfsX","025d1650","Data Label","undefined2","Global","User Defined"
"toMenuMpValueOfsY","025d1652","Data Label","undefined2","Global","User Defined"
"toMenuMpValueOfsX","025d1654","Data Label","undefined2","Global","User Defined"
"toMenuMpTexOfsY","025d1656","Data Label","undefined2","Global","User Defined"
"toMenuMpTexOfsX","025d1658","Data Label","undefined2","Global","User Defined"
"toMenuHpValueOfsY","025d165a","Data Label","undefined2","Global","User Defined"
"toMenuHpValueOfsX","025d165c","Data Label","undefined2","Global","User Defined"
"toMenuHpTexOfsY","025d165e","Data Label","undefined2","Global","User Defined"
"toMenuHpTexOfsX","025d1660","Data Label","undefined2","Global","User Defined"
"toMenuNameOfsY","025d1662","Data Label","undefined2","Global","User Defined"
"toMenuNameOfsX","025d1664","Data Label","undefined2","Global","User Defined"
"toMenuNamePltColor1","025d1668","Data Label","undefined4","Global","User Defined"
"toMenuNamePltColor0","025d166c","Data Label","undefined4","Global","User Defined"
"toMenuNamePltNextH","025d1670","Data Label","undefined","Global","User Defined"
"toMenuNamePltW","025d1672","Data Label","undefined2","Global","User Defined"
"toMenuNamePltY","025d1674","Data Label","undefined","Global","User Defined"
"toMenuNamePltX","025d1676","Data Label","undefined","Global","User Defined"
"toMenuBgColorA1","025d1678","Data Label","undefined1","Global","User Defined"
"toMenuBgColorG1","025d1679","Data Label","undefined1","Global","User Defined"
"toMenuBgColorB1","025d167a","Data Label","undefined1","Global","User Defined"
"toMenuBgColorR1","025d167b","Data Label","undefined1","Global","User Defined"
"toMenuBgColorA0","025d167c","Data Label","undefined1","Global","User Defined"
"toMenuBgColorG0","025d167d","Data Label","undefined1","Global","User Defined"
"toMenuBgColorB0","025d167e","Data Label","undefined1","Global","User Defined"
"toMenuBgColorR0","025d167f","Data Label","undefined1","Global","User Defined"
"toMenuBackColorA","025d1680","Data Label","undefined","Global","User Defined"
"toMenuBackColorG","025d1681","Data Label","undefined","Global","User Defined"
"toMenuBackColorB","025d1682","Data Label","undefined","Global","User Defined"
"toMenuBackColorR","025d1683","Data Label","undefined","Global","User Defined"
"toMenuStdPlateColorLimit1","025d1684","Data Label","undefined4","Global","User Defined"
"toMenuStdPlateColorLimit0","025d1688","Data Label","undefined4","Global","User Defined"
"toMenuStdPlateColorAbility1","025d168c","Data Label","undefined4","Global","User Defined"
"toMenuStdPlateColorAbility0","025d1690","Data Label","undefined4","Global","User Defined"
"toMenuStdPlateColorItem1","025d1694","Data Label","undefined4","Global","User Defined"
"toMenuStdPlateColorItem0","025d1698","Data Label","undefined4","Global","User Defined"
"toMenuStdPlateColorNormal1","025d169c","Data Label","undefined4","Global","User Defined"
"toMenuStdPlateColorNormal0","025d16a0","Data Label","undefined4","Global","User Defined"
"toStdCursorEnemyColor","025d16a4","Data Label","undefined","Global","User Defined"
"toStdCursorPlayerColor","025d16a8","Data Label","undefined","Global","User Defined"
"toStdCursorNormalColor","025d16ac","Data Label","undefined","Global","User Defined"
"toStdWindowColor1","025d16b0","Data Label","undefined4","Global","User Defined"
"toStdWindowColor0","025d16b4","Data Label","undefined4","Global","User Defined"
"toMenuActiveFlag","025d16c0","Data Label","undefined4","Global","User Defined"
"NOW_HELP_TEX_NAME","025d16c8","Data Label","undefined4","Global","User Defined"
"SMONITOR_TEX_NAME","025d16cc","Data Label","undefined4","Global","User Defined"
